xbins, ybins, xmin, xmax, ymin, ymax
15, 25, 0, 15, 0, 25
 217,   0,   16,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 0,   16,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 0,   172,   442,   270,   0,   0,   0,   300,   0,   0,   0,   0,   0,   0,   0
 0,   94,   0,   0,   300,   300,   300,   300,   0,   0,   0,   0,   0,   0,   0
 2,   270,   145,   465,   563,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 90,   500,   103,   145,   179,   179,   7,   7,   0,   0,   0,   0,   0,   0,   0
 0,   250,   190,   300,   0,   103,   172,   7,   300,   0,   0,   0,   0,   0,   0
 250,   0,   323,   152,   321,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 0,   190,   702,   321,   290,   0,   103,   103,   0,   0,   0,   0,   0,   0,   0
 152,   152,   353,   0,   0,   321,   0,   275,   0,   0,   0,   0,   0,   0,   0
 138,   441,   0,   41,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 280,   0,   34,   0,   41,   193,   0,   0,   103,   0,   0,   0,   0,   0,   0
 1064,   747,   529,   1422,   507,   0,   384,   0,   0,   103,   0,   0,   0,   0,   0
 0,   517,   280,   356,   562,   22,   290,   41,   0,   300,   0,   0,   0,   0,   0
 125,   56,   774,   94,   76,   540,   76,   63,   0,   0,   0,   0,   0,   0,   0
 34,   166,   330,   0,   353,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 519,   400,   307,   332,   280,   771,   152,   0,   41,   0,   0,   0,   0,   0,   0
 0,   410,   61,   330,   805,   138,   603,   152,   0,   41,   41,   0,   0,   0,   0
 56,   890,   0,   217,   0,   0,   0,   22,   0,   0,   0,   0,   0,   0,   0
 370,   102,   488,   225,   330,   0,   61,   152,   0,   0,   0,   0,   0,   0,   0
 769,   131,   205,   0,   0,   341,   138,   0,   0,   0,   0,   41,   41,   0,   0
 886,   0,   0,   0,   61,   536,   311,   968,   22,   0,   0,   0,   0,   41,   0
 766,   205,   120,   120,   0,   505,   0,   290,   0,   0,   300,   0,   0,   0,   0
 1219,   117,   117,   0,   0,   0,   280,   587,   0,   22,   0,   0,   0,   0,   0
 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
