xbins, ybins, xmin, xmax, ymin, ymax
15, 25, 0, 15, 0, 25
 6870,   5078,   2014,   793,   517,   304,   304,   0,   0,   0,   0,   0,   0,   0,   0
 7700,   3752,   1363,   561,   811,   235,   0,   0,   0,   0,   0,   0,   0,   0,   0
 4406,   1763,   1641,   330,   126,   291,   0,   0,   0,   0,   0,   0,   0,   0,   0
 2781,   3160,   3,   185,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 3072,   1112,   123,   513,   95,   153,   0,   0,   0,   0,   0,   0,   0,   0,   0
 1323,   236,   599,   133,   185,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 643,   419,   175,   219,   0,   0,   291,   0,   0,   0,   0,   0,   0,   0,   0
 594,   111,   319,   0,   175,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 174,   400,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 113,   0,   0,   79,   44,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 0,   0,   0,   254,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 163,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
